Date,Open,High,Low,Close,Volume,Currency
2021-10-06,4.0665,4.0665,3.983,3.9945,12824500,EUR
2021-10-07,4.0,4.0815,4.0,4.0255,11499400,EUR
2021-10-08,4.015,4.0385,3.9945,4.0255,10446200,EUR
2021-10-11,4.018,4.0285,3.9815,3.99,8717400,EUR
2021-10-12,3.9825,4.0275,3.937,4.0275,11113300,EUR
2021-10-13,4.0095,4.0125,3.961,3.967,16753500,EUR
2021-10-14,3.9855,4.004,3.9355,3.9415,27721600,EUR
2021-10-15,3.9355,3.9385,3.7685,3.797,39520600,EUR
2021-10-18,3.801,3.8215,3.736,3.7655,16068400,EUR
2021-10-19,3.75,3.784,3.7135,3.7385,16115100,EUR
2021-10-20,3.75,3.853,3.74,3.8365,33524800,EUR
2021-10-21,3.8335,3.8685,3.7905,3.7905,19193900,EUR
2021-10-22,3.7805,3.82,3.7645,3.7715,11040200,EUR
2021-10-25,3.78,3.841,3.743,3.8225,13713000,EUR
2021-10-26,3.7935,3.8265,3.7465,3.813,11730700,EUR
2021-10-27,3.801,3.8135,3.7685,3.8135,16478700,EUR
2021-10-28,3.797,3.797,3.741,3.741,14511500,EUR
2021-10-29,3.74,3.774,3.714,3.7645,15505500,EUR
2021-11-01,3.761,3.8445,3.749,3.8165,12354400,EUR
2021-11-02,3.8135,3.8155,3.754,3.766,16813400,EUR
2021-11-03,3.766,3.77,3.712,3.752,13297900,EUR
2021-11-04,3.71,3.7595,3.6135,3.664,32537500,EUR
2021-11-05,3.67,3.803,3.648,3.766,21734500,EUR
