Accion,Precio,%Diferencia,Maximo,Minimo,Fecha
BA.SABADELL,0.699,0.37,0.7184,0.697,2021-11-01 20:31:01.014176
IAG,1.969,1.78,1.98,1.907,2021-11-01 20:31:01.034026
MAPFRE,1.97,7.62,1.9835,1.859,2021-11-01 20:31:01.044252
CAIXABANK,2.487,0.08,2.51,2.47,2021-11-01 20:31:01.018928
B.SANTANDER,3.3435,2.04,3.3535,3.2755,2021-11-01 20:31:01.011974
TELEFONICA,3.8165,1.38,3.8445,3.749,2021-11-01 20:31:01.063377
BANKINTER,4.909,3.09,4.957,4.785,2021-11-01 20:31:01.016008
BBVA,6.279,3.58,6.292,6.03,2021-11-01 20:31:01.017694
MELIA HOTELS,6.436,1.16,6.53,6.35,2021-11-01 20:31:01.046688
INM.COLONIAL,8.31,-1.19,8.425,8.23,2021-11-01 20:31:01.042061
MERLIN,9.388,0.21,9.514,9.344,2021-11-01 20:31:01.048789
IBERDROLA,10.295,0.78,10.325,10.165,2021-11-01 20:31:01.036234
INDRA A,10.41,-0.38,10.58,10.34,2021-11-01 20:31:01.040200
REPSOL,11.018,-0.34,11.184,11.0,2021-11-01 20:31:01.057057
ACERINOX,12.245,1.74,12.345,12.15,2021-11-01 20:31:00.997829
ALMIRALL,13.21,2.8,13.25,12.95,2021-11-01 20:31:01.005662
SOLARIA,17.535,1.53,17.61,17.275,2021-11-01 20:31:01.061109
R.E.C.,18.22,1.17,18.3,17.95,2021-11-01 20:31:01.054748
ENAGAS,19.595,0.98,19.68,19.27,2021-11-01 20:31:01.024429
GRIFOLS CL.A,19.775,-0.1,20.0,19.675,2021-11-01 20:31:01.031453
ENDESA,20.08,0.68,20.08,19.89,2021-11-01 20:31:01.026066
SIEMENS GAME,22.99,-1.88,23.66,22.99,2021-11-01 20:31:01.059298
ACS,23.02,1.72,23.2,22.8,2021-11-01 20:31:01.001380
NATURGY,23.22,2.16,23.28,22.72,2021-11-01 20:31:01.051434
CIE AUTOMOT.,23.58,0.26,23.98,23.42,2021-11-01 20:31:01.022949
FERROVIAL,27.75,1.8,28.07,27.09,2021-11-01 20:31:01.027751
ARCELORMIT.,29.9,1.91,30.145,29.62,2021-11-01 20:31:01.009815
INDITEX,32.04,2.56,32.15,31.32,2021-11-01 20:31:01.038413
FLUIDRA,33.0,0.46,33.9,32.35,2021-11-01 20:31:01.029677
CELLNEX,53.14,-0.08,53.48,52.56,2021-11-01 20:31:01.020356
AMADEUS,58.0,0.28,58.6,57.44,2021-11-01 20:31:01.007506
VISCOFAN,59.35,0.34,59.9,58.5,2021-11-01 20:31:01.066027
PHARMA MAR,60.42,-10.01,67.42,60.42,2021-11-01 20:31:01.052932
AENA,145.65,2.82,146.35,141.1,2021-11-01 20:31:01.003355
ACCIONA,166.0,0.12,168.9,165.9,2021-11-01 20:31:00.994821
